Season,Round,Team A,Team B,Team A SRS,Team B SRS,Team A ORtg,Team B ORtg,Team A DRtg,Team B DRtg,Winner,Team A Age,Team B Age,Team A W,Team B W,Team A L,Team B L,Team A PW,Team B PW,Team A PL,Team B PL,Team A MOV,Team B MOV,Team A SOS,Team B SOS,Team A NRtg,Team B NRtg,Team A Pace,Team B Pace,Team A FTr,Team B FTr,Team A 3PAr,Team B 3PAr,Team A TS%,Team B TS%
2014,First Round,Indiana Pacers,Atlanta Hawks,3.63,-0.88,104.1,105.9,99.3,106.4,Indiana Pacers,27.2,27.5,56,38,26,44,54,40,28,42,4.4,-0.48,-0.77,-0.4,4.8,-0.5,92.5,94.6,0.29,0.266,0.235,0.316,0.535,0.554
2014,First Round,Miami Heat,Charlotte Bobcats,4.15,-0.89,110.9,103.6,105.8,103.8,Miami Heat,30.6,25.5,54,43,28,39,54,40,28,42,4.76,-0.22,-0.61,-0.67,5.1,-0.2,91.2,92.4,0.3,0.297,0.292,0.219,0.59,0.522
2014,First Round,Washington Wizards,Chicago Bulls,0.48,1.2,106.0,102.5,104.6,100.5,Washington Wizards,26.3,28.6,44,48,38,34,45,47,37,35,1.27,1.85,-0.79,-0.66,1.4,2.0,93.2,90.2,0.248,0.29,0.246,0.222,0.538,0.518
2014,First Round,Los Angeles Clippers,Golden State Warriors,7.27,5.15,112.1,107.5,104.8,102.6,Los Angeles Clippers,28.1,26.3,57,51,25,31,59,54,23,28,6.98,4.8,0.3,0.34,7.3,4.9,95.9,96.2,0.353,0.247,0.291,0.291,0.567,0.55
2014,First Round,Oklahoma City Thunder,Memphis Grizzlies,6.66,2.18,110.5,106.3,103.9,104.6,Oklahoma City Thunder,26.2,28.5,59,50,23,32,58,46,24,36,6.34,1.57,0.32,0.61,6.6,1.7,95.4,89.9,0.303,0.248,0.271,0.171,0.566,0.529
2014,First Round,Portland Trail Blazers,Houston Rockets,4.44,5.06,111.5,111.0,107.4,106.3,Portland Trail Blazers,25.8,25.4,54,54,28,28,52,53,30,29,3.99,4.56,0.45,0.5,4.1,4.7,94.9,96.3,0.27,0.386,0.29,0.33,0.548,0.571
2014,First Round,San Antonio Spurs,Dallas Mavericks,8.0,2.91,110.5,111.2,102.4,108.7,San Antonio Spurs,28.9,30.6,62,49,20,33,61,48,21,34,7.72,2.4,0.28,0.5,8.1,2.5,95.0,93.5,0.24,0.253,0.257,0.274,0.571,0.564
2014,Conference Semifinals,Indiana Pacers,Washington Wizards,3.63,0.48,104.1,106.0,99.3,104.6,Indiana Pacers,27.2,26.3,56,44,26,38,54,45,28,37,4.4,1.27,-0.77,-0.79,4.8,1.4,92.5,93.2,0.29,0.248,0.235,0.246,0.535,0.538
2014,Conference Semifinals,Miami Heat,Brooklyn Nets,4.15,-1.58,110.9,106.7,105.8,107.7,Miami Heat,30.6,30.0,54,44,28,38,54,38,28,44,4.76,-1.0,-0.61,-0.58,5.1,-1.0,91.2,91.4,0.3,0.313,0.292,0.301,0.59,0.555
2014,Conference Semifinals,Oklahoma City Thunder,Los Angeles Clippers,6.66,7.27,110.5,112.1,103.9,104.8,Oklahoma City Thunder,26.2,28.1,59,57,23,25,58,59,24,23,6.34,6.98,0.32,0.3,6.6,7.3,95.4,95.9,0.303,0.353,0.271,0.291,0.566,0.567
2014,Conference Semifinals,San Antonio Spurs,Portland Trail Blazers,8.0,4.44,110.5,111.5,102.4,107.4,San Antonio Spurs,28.9,25.8,62,54,20,28,61,52,21,30,7.72,3.99,0.28,0.45,8.1,4.1,95.0,94.9,0.24,0.27,0.257,0.29,0.571,0.548
2014,Conference Finals,Miami Heat,Indiana Pacers,4.15,3.63,110.9,104.1,105.8,99.3,Miami Heat,30.6,27.2,54,56,28,26,54,54,28,28,4.76,4.4,-0.61,-0.77,5.1,4.8,91.2,92.5,0.3,0.29,0.292,0.235,0.59,0.535
2014,Conference Finals,San Antonio Spurs,Oklahoma City Thunder,8.0,6.66,110.5,110.5,102.4,103.9,San Antonio Spurs,28.9,26.2,62,59,20,23,61,58,21,24,7.72,6.34,0.28,0.32,8.1,6.6,95.0,95.4,0.24,0.303,0.257,0.271,0.571,0.566
